Grid World GFlowNet Results
Timestamp: 2025-07-24_22-23-40
========================================
📊 Evaluation Results:
   Successful evaluations: 50/50
   Mean Reward: 0.3
   High Reward (≥5.0) Rate: 0.0% (0/50)
   Max Reward (≥10.0) Rate: 2.0% (1/50)

📋 Sample Trajectories:
   1. (1,1) → (2,1) → (1,1) → (2,1) → (1,1) → (2,1) → (2,1) (Reward: 0.1)
   2. (1,1) → (2,1) → (1,1) → (1,2) → (1,3) → (1,4) → (1,4) (Reward: 0.1)
   3. (1,1) → (2,1) → (2,1) (Reward: 0.1)

📈 Reward Distribution:
   Reward 0.1: 49 samples (default terminal)
   Reward 5.0: 0 samples (positions (1,5) and (5,1))
   Reward 10.0: 1 samples (position (3,3))
   Other: 0 samples


Training Data:
Iteration 130: Loss=7.9530573, Mean Reward=0.56250006, High Rewards=2, Successful=32
Iteration 131: Loss=6.194027, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 132: Loss=8.456439, Mean Reward=0.55937505, High Rewards=3, Successful=32
Iteration 133: Loss=6.060063, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 134: Loss=8.499768, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 135: Loss=10.089004, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 136: Loss=8.311848, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 137: Loss=7.2847185, Mean Reward=0.40625006, High Rewards=2, Successful=32
Iteration 138: Loss=7.0453796, Mean Reward=0.40625003, High Rewards=2, Successful=32
Iteration 139: Loss=10.39296, Mean Reward=0.40625012, High Rewards=2, Successful=32
Iteration 140: Loss=6.914348, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 141: Loss=7.8673954, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 142: Loss=7.6828485, Mean Reward=0.40625012, High Rewards=2, Successful=32
Iteration 143: Loss=5.8660254, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 144: Loss=9.465704, Mean Reward=0.56249994, High Rewards=2, Successful=32
Iteration 145: Loss=10.978567, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 146: Loss=7.863492, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 147: Loss=6.264432, Mean Reward=0.559375, High Rewards=3, Successful=32
Iteration 148: Loss=8.460038, Mean Reward=0.55937517, High Rewards=3, Successful=32
Iteration 149: Loss=9.62737, Mean Reward=0.5625, High Rewards=2, Successful=32
Iteration 150: Loss=6.140062, Mean Reward=0.5625, High Rewards=2, Successful=32
Iteration 151: Loss=11.1836405, Mean Reward=0.71250015, High Rewards=4, Successful=32
Iteration 152: Loss=9.382006, Mean Reward=0.4093752, High Rewards=1, Successful=32
Iteration 153: Loss=6.414231, Mean Reward=0.40937504, High Rewards=1, Successful=32
Iteration 154: Loss=6.549429, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 155: Loss=7.5992403, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 156: Loss=10.224119, Mean Reward=0.40625015, High Rewards=2, Successful=32
Iteration 157: Loss=7.8784156, Mean Reward=0.71250015, High Rewards=4, Successful=32
Iteration 158: Loss=7.684997, Mean Reward=0.4062501, High Rewards=2, Successful=32
Iteration 159: Loss=8.399183, Mean Reward=0.86562514, High Rewards=5, Successful=32
Iteration 160: Loss=6.7590027, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 161: Loss=9.73808, Mean Reward=0.40625003, High Rewards=2, Successful=32
Iteration 162: Loss=6.868612, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 163: Loss=10.199163, Mean Reward=0.87187517, High Rewards=3, Successful=32
Iteration 164: Loss=7.369427, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 165: Loss=8.389972, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 166: Loss=8.017632, Mean Reward=0.4093751, High Rewards=1, Successful=32
Iteration 167: Loss=7.772525, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 168: Loss=9.233236, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 169: Loss=5.826202, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 170: Loss=6.2813373, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 171: Loss=5.436789, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 172: Loss=8.381741, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 173: Loss=8.549231, Mean Reward=0.71562517, High Rewards=3, Successful=32
Iteration 174: Loss=9.906503, Mean Reward=0.8687501, High Rewards=4, Successful=32
Iteration 175: Loss=6.306679, Mean Reward=0.40937516, High Rewards=1, Successful=32
Iteration 176: Loss=6.1239653, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 177: Loss=10.74358, Mean Reward=0.87187517, High Rewards=3, Successful=32
Iteration 178: Loss=7.9792852, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 179: Loss=11.131628, Mean Reward=0.40625015, High Rewards=2, Successful=32
Iteration 180: Loss=8.290113, Mean Reward=0.40625018, High Rewards=2, Successful=32
Iteration 181: Loss=8.197604, Mean Reward=0.55937517, High Rewards=3, Successful=32
Iteration 182: Loss=6.5943937, Mean Reward=0.40625012, High Rewards=2, Successful=32
Iteration 183: Loss=9.188357, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 184: Loss=7.7148705, Mean Reward=0.5593751, High Rewards=3, Successful=32
Iteration 185: Loss=8.426743, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 186: Loss=7.872503, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 187: Loss=8.525053, Mean Reward=0.5625002, High Rewards=2, Successful=32
Iteration 188: Loss=6.7223434, Mean Reward=0.4093752, High Rewards=1, Successful=32
Iteration 189: Loss=6.421754, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 190: Loss=9.232545, Mean Reward=0.5625002, High Rewards=2, Successful=32
Iteration 191: Loss=7.262431, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 192: Loss=8.443403, Mean Reward=0.5625001, High Rewards=2, Successful=32
Iteration 193: Loss=4.6624875, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 194: Loss=7.4634237, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 195: Loss=7.409175, Mean Reward=0.5625002, High Rewards=2, Successful=32
Iteration 196: Loss=6.880543, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 197: Loss=8.4886, Mean Reward=1.025, High Rewards=4, Successful=32
Iteration 198: Loss=7.9586034, Mean Reward=0.5625, High Rewards=2, Successful=32
Iteration 199: Loss=7.7600946, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 200: Loss=6.890047, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 201: Loss=7.691421, Mean Reward=0.40937516, High Rewards=1, Successful=32
Iteration 202: Loss=8.193614, Mean Reward=0.5625002, High Rewards=2, Successful=32
Iteration 203: Loss=5.6760993, Mean Reward=0.40937522, High Rewards=1, Successful=32
Iteration 204: Loss=7.861979, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 205: Loss=7.449602, Mean Reward=0.87187517, High Rewards=3, Successful=32
Iteration 206: Loss=9.023343, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 207: Loss=9.092381, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 208: Loss=8.986573, Mean Reward=0.40937498, High Rewards=1, Successful=32
Iteration 209: Loss=6.445405, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 210: Loss=6.904649, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 211: Loss=6.194641, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 212: Loss=10.208729, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 213: Loss=8.270185, Mean Reward=0.40937522, High Rewards=1, Successful=32
Iteration 214: Loss=7.3655024, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 215: Loss=8.571442, Mean Reward=0.87187517, High Rewards=3, Successful=32
Iteration 216: Loss=9.269357, Mean Reward=0.40937516, High Rewards=1, Successful=32
Iteration 217: Loss=7.1847305, Mean Reward=0.4062501, High Rewards=2, Successful=32
Iteration 218: Loss=7.108639, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 219: Loss=5.557082, Mean Reward=0.5625002, High Rewards=2, Successful=32
Iteration 220: Loss=8.023477, Mean Reward=0.40937513, High Rewards=1, Successful=32
Iteration 221: Loss=5.52447, Mean Reward=0.8687501, High Rewards=4, Successful=32
Iteration 222: Loss=9.415673, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 223: Loss=7.4913836, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 224: Loss=7.6900854, Mean Reward=0.409375, High Rewards=1, Successful=32
Iteration 225: Loss=8.573834, Mean Reward=0.56250024, High Rewards=2, Successful=32
Iteration 226: Loss=7.2787423, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 227: Loss=5.7997184, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 228: Loss=8.188486, Mean Reward=0.5625002, High Rewards=2, Successful=32
Iteration 229: Loss=9.0252285, Mean Reward=0.5625, High Rewards=2, Successful=32
Iteration 230: Loss=7.3056784, Mean Reward=0.5625002, High Rewards=2, Successful=32
Iteration 231: Loss=12.098777, Mean Reward=0.25312498, High Rewards=1, Successful=32
